PO Type,zip code,Location,Address,StartH,StartM,EndH,EndM,Impact,Date
sudden,9090,MELLE,"BRUSSELS STONEWEG, CLIVIASTRAAT, HEUSDENBAAN, JOHN YOUNGESTRAAT, CASTLE DRIVE, SMALL WOOD FIELD, PRACTICE SQUARE STREET, OLD BRUSSELS ROAD, SALVIASTRAAT, SPIEGELHOF, WEVERSHOF",14,22,15,0,101-500,30-09-2024
planned,9070,HEUSDEN,"CLEEMPUTTEHOF, DORPSLAAN, HEIDESTRAAT, HEUSDENDORP, KLEEMPENDORP, KOUTERLAAN, KREKELSTRAAT, KRUISWEGEL, LETTERWEGEL, MAGERSTRAAT, MUGGENWEGEL, SINTE-BARBARASTRAAT, STEENAKKERSTRAAT, STEENSTRAAT, STEENVOORDESTRAAT, TRAMSTRAAT, ZANDAKKERLAAN, ZANDREDE",14,22,15,0,101-500,30-09-2024
planned,9090,MELLE,"BRUSSELSESTEENWEG, CLIVIASTRAAT, HEUSDENBAAN, JOHN YOUNGESTRAAT, KASTEELDREEF, KLEINE HOUTAKKER, OEFENPLEINSTRAAT, OUDE BRUSSELSE WEG, SALVIASTRAAT, SPIEGELHOF, WEVERSHOF",14,22,15,0,101-500,30-09-2024
sudden,9000,GHENT,"ABEELSTRAAT, APOSTLE HOUSES",14,55,19,0,21-100,30-07-2024
sudden,9000,GHENT,EKKERGEMSTRAAT,12,48,14,58,21-100,30-07-2024
sudden,9000,GHENT,JUBILEE AVENUE,8,0,12,26,21-100,30-07-2024
sudden,9000,GHENT,NEW WALK,8,34,13,2,<20,30-07-2024
sudden,9070,HEUSDEN,FOXENLO,11,20,11,57,<20,30-07-2024
sudden,9060,ZELZATE,KERKSTRAAT,9,37,12,6,21-100,30-06-2024
sudden,9031,DRONGEN,"ERNEST SOLVYNSDREEF, WEEGBREESTRAAT",13,56,14,30,<20,29-07-2024
sudden,9050,GENTBRUGGE,"PENGUIN STREET, VOGELHOEKSTRAAT",10,15,14,30,<20,29-07-2024
sudden,9060,ZELZATE,"BOOKWEETSTRAAT, SINT-SEBASTIANSTRAAT",11,25,14,13,21-100,29-07-2024
sudden,9070,HEUSDEN,"AXMINSTERHOF, KLEEMPENDORP, MAGERSTRAAT, MUGGENWEGEL",12,57,14,5,21-100,29-07-2024
sudden,9060,ZELZATE,"BOEKWEITSTRAAT, SINT-SEBASTIAANSTRAAT",11,25,14,13,21-100,29-07-2024
sudden,9070,HEUSDEN,VOSSENSTRAAT,16,8,21,0,21-100,29-07-2024
sudden,9000,GHENT,"GODSHUISHAMMEKE, JAKOB VAN CAENEGHEMSTRAAT",0,13,1,19,21-100,29-06-2024
sudden,9000,GHENT,"HAVERSTRAAT, NIEUWEVAART",16,36,17,57,101-500,28-07-2024
sudden,9000,GHENT,"HAVERSTRAAT, NIEUWEVAART",17,57,19,34,101-500,28-07-2024
sudden,9050,GENTBRUGGE,BRUILOFTSTRAAT,22,54,23,48,<20,28-06-2024
sudden,9051,AFSNEE,"AFSNEEKOUTER, AFSNEEMOLENSTRAAT, AUTOWEG-NOORD, BROEKKANTSTRAAT, DUDDEGEMSTRAAT, GOEDINGENSTRAAT, KLEINE DUDDEGEMSTRAAT, LEIERIGGESTRAAT",13,3,13,49,21-100,28-06-2024
sudden,9051,SINT-DENIJS-WESTREM,"AUTOWEG-ZUID, BROEKKANTSTRAAT, DUDDEGEMSTRAAT, KLEINEMOORTELPUTSTRAAT, WITTEPAALSTRAAT",13,3,13,49,21-100,28-06-2024
planned,9000,GHENT,JAN BREYDELSTRAAT,8,0,14,0,21-100,27-09-2024
sudden,9032,WONDELGEM,GENTSEAARDEWEG,8,0,8,53,21-100,27-09-2024
planned,9070,DESTELBERGEN,DENDERMONDE STONEWEG,9,0,14,0,21-100,27-09-2024
planned,9070,DESTELBERGEN,MARQUIS STREET,7,30,9,59,21-100,27-09-2024
sudden,9000,GHENT,FLORALIAN LANE,8,0,16,0,<20,27-08-2024
sudden,9000,GHENT,GAS METER LANE,8,0,12,0,<20,27-08-2024
sudden,9040,SINT-AMANDSBERG,DENDERMONDSE STONEWEG,8,0,12,0,21-100,27-08-2024
sudden,9050,GENTBRUGGE,FREDERIK BURVENICHSTRAAT,4,48,5,46,21-100,27-08-2024
sudden,9050,GENTBRUGGE,"HOGEPONTSTRAAT, SCHELDT QUAY",8,0,16,0,21-100,27-08-2024
sudden,9000,GHENT,FERDINAND LOUSBERGSKAAI,20,36,21,28,21-100,27-06-2024
sudden,9000,GHENT,TUINWIJKLAAN,8,43,15,15,<20,27-06-2024
sudden,9031,DRONNG,ANTOON CATRIESTRAAT,9,56,15,49,<20,27-06-2024
sudden,9070,HEUSDEN,"PENSSTRAAT, ZANDAKKERLAAN",13,22,14,7,21-100,27-06-2024
sudden,9032,WONDELGEM,MOREK STREET,1,56,2,41,21-100,27-06-2024
sudden,9031,DRONGEN,ANTOON CATRIESTRAAT,9,56,15,49,<20,27-06-2024
planned,9042,DESTELDONK,"KEURESTRAAT, LINDESTRAAT, MOLENEINDE",22,52,23,45,21-100,26-09-2024
planned,9050,GENTBRUGGE,DRIEBEEKSTRAAT,8,39,10,0,<20,26-09-2024
planned,9060,ZELZATE,WESTKADE,9,15,13,15,21-100,26-09-2024
sudden,9000,GHENT,"QUEEN ASTRIDLAAN, QUEEN ELISABETHLAAN, QUEEN MARIA HENDRIKAPLEIN, OOSTENDESTRAAT, PRINCESS CLEMENTINALANE",8,21,10,1,101-500,26-09-2024
planned,9040,SINT-AMANDSBERG,"ADOLF BAEYENSSTRAAT, AZALEASTRAAT, ENGELSTRAAT, HENRI VAN CLEEMPUTTEPLEIN, JAN ROOMSSTRAAT, JOHANNES HARTMANNLAAN, LAND VAN WAASLAAN, SCHOOLSTRAAT, CONNECTING STREET, VICTOR BRAECKMANLAAN, WITTEMOLENSTRAAT",15,8,15,12,101-500,26-09-2024
planned,9050,GENTBRUGGE,DRIEBEEKSTRAAT,8,39,14,37,<20,26-09-2024
planned,9060,ZELZATE,WESTKADE,9,15,15,45,21-100,26-09-2024
sudden,9050,GENTBRUGGE,"PENGUIN STREET, VOGELHOEKSTRAAT",21,16,22,12,<20,26-07-2024
sudden,9000,GHENT,BRUGSESTEENWEG,1,9,2,9,21-100,26-07-2024
sudden,9000,GHENT,NOTELAARSTREET,2,15,6,25,21-100,26-06-2024
sudden,9040,SINT-AMANDSBERG,"ANTWERP STONEWEG, GEORGES WIBIERDREEF, QUINTEN METSIJSSTRAAT, ZAVELPUT",8,15,13,41,101-500,25-09-2024
sudden,9041,OOSTAKKER,"DAKNAMSTRAAT, EKSAARDSERIJWEG, MUIZELSTRAAT",7,30,11,30,21-100,25-09-2024
planned,9041,OOSTAKKER,"DRIESELSTRAAT, KAMERIJKSTRAAT, OLD FIELDSTRAAT, SCHOUTSTRAAT",12,30,15,31,21-100,25-09-2024
planned,9060,ZELZATE,THRUSH AVENUE,15,40,15,48,101-500,25-09-2024
sudden,9041,OOSTAKKER,"HOLLENAARSTRAAT, KORFDRAGERSTRAAT",22,24,23,12,21-100,25-07-2024
sudden,9031,DRONGEN,ASSELSSTRAAT,6,39,14,31,<20,25-07-2024
sudden,9000,GHENT,HANDBALL STREET,6,43,13,11,<20,25-06-2024
sudden,9080,BEERVELDE,"BEERVELDE-VILLAGE, KASTEELSTRAAT, KLOOSTERSTRAAT",8,47,9,7,21-100,25-06-2024
sudden,9000,GHENT,"BALIESTRAAT, DÉSIRÉ VAN MONCKHOVESTRAAT, HANDBALSTRAAT, JAKOB HEREMANSSTRAAT, KONING ALBERTLAAN, HIERSSTRAAT, PROSPER CLAEYSSTRAAT, RAKETSTRAAT, SINT-PAULUSSTRAAT, SMIDSESTRAAT, TENNISBAANSTRAAT",0,12,0,51,501-1500,25-06-2024
sudden,9050,GENTBRUGGE,JULES VAN BIESBROECKSTRAAT,15,40,19,5,<20,25-06-2024
sudden,9080,LOCHRISTI,"BOEKWEITLAAN, HIJFTESTRAAT",20,7,1,0,21-100,25-06-2024
sudden,9050,GENTBRUGGE,JULES VAN BIESBROECKSTRAAT,15,40,19,5,<20,25-06-2024
sudden,9000,GHENT,DONKERSTEEG,13,6,14,27,<20,24-09-2024
sudden,9000,GHENT,KONINGIN ASTRIDLAAN,12,45,15,0,<20,24-09-2024
sudden,9041,OOSTAKKER,"EIKSTRAAT, HELLEGAT",14,0,15,25,<20,24-09-2024
sudden,9000,GHENT,"FRANS VAN RYHOVELAAN, MAGNOLIASTRAAT, ROGGESTRAAT",14,46,17,23,<20,24-07-2024
sudden,9000,GHENT,"FRANS VAN RYHOVELAAN, MAGNOLIASTRAAT, ROGGESTRAAT",14,46,17,23,<20,24-07-2024
sudden,9000,GHENT,"FRANS VAN RYHOVELAAN, MAGNOLIASTRAAT, ROGGESTRAAT",8,31,10,12,21-100,24-07-2024
sudden,9032,WONDELGEM,EVERGEMSESTEENWEG,9,43,15,26,<20,24-07-2024
sudden,9000,GHENT,"PEKELHARING, RECOLLETENLEI, WIJNGAARDSTRAAT",10,30,12,19,21-100,24-06-2024
sudden,9030,MARIAKERKE,"BREEBROEKSTRAAT, BROEKSTRAAT, DURMSTRAAT, EEKLOSTRAAT, HENRI STORYSTRAAT, MILKWEIDE, PINKSTERBLOEMSTRAAT, STANISLAW MACZEKSTRAAT, WOLVENGRACHT",10,54,12,50,101-500,24-06-2024
sudden,9040,SINT-AMANDSBERG,KETSHAGE,13,9,14,8,<20,24-06-2024
sudden,9080,ZAFFELARE,"KOEDREEF, MILL END",10,37,11,56,21-100,24-06-2024
planned,9000,GHENT,"ARMAND HEINSSTRAAT, HARELBEKESTRAAT",14,15,15,44,21-100,23-09-2024
planned,9000,GHENT,"KONINGIN MARIA HENDRIKAPLEIN, SMIDSESTRAAT",16,55,18,5,101-500,23-09-2024
sudden,9000,GHENT,FERDINAND LOUSBERGSKAAI,13,19,18,44,21-100,22-09-2024
sudden,9000,GHENT,VOSKENSLAAN,15,16,20,50,21-100,22-07-2024
sudden,9070,DESTELBERGEN,"DENDERMONDESTEENWEG, KERKKOUTERREDE, KROMREDE, TER RAMENLAAN, VOLDERREDE",12,33,14,0,21-100,22-07-2024
sudden,9040,SINT-AMANDSBERG,ALBRECHT RODENBACHSTRAAT,13,0,14,15,<20,20-09-2024
planned,9040,SINT-AMANDSBERG,HANS MEMLINGSTRAAT,7,30,11,30,<20,20-09-2024
sudden,9031,DRONNG,BAARLEKOUTER,11,24,13,7,<20,20-06-2024
sudden,9032,WONDELGEM,MOREK STREET,15,25,16,22,21-100,20-06-2024
sudden,9070,DESTELBERGEN,"SUCCALAAN, FULFILLED",13,9,13,33,<20,20-06-2024
sudden,9040,SINT-AMANDSBERG,ZAVELPUT,15,43,17,30,21-100,19-09-2024
sudden,9041,OOSTAKKER,"EKSAARDSERIJWEG, SINT-ARNOUTSTRAAT",12,30,15,1,21-100,19-09-2024
planned,9070,DESTELBERGEN,"BOCHTENSTRAAT, JAGERSTRAAT, MOLENSTRAAT",13,40,14,50,<20,19-09-2024
planned,9090,GONTRODE,"LANGEMUNT, POTAARDESTRAAT, PROEFHOEVESTRAAT",10,57,11,0,<20,19-09-2024
sudden,9090,MELLE,"GEERBOSSTRAAT, LANGEMUNT, SINT-BAVOSTRAAT",10,57,11,0,<20,19-09-2024
planned,9000,GHENT,"JOZEF CANTRÉSTRAAT, SINT-DENIJSLAAN, STELTLOPERSTRAAT, STORMVOGELSTRAAT, WIEMERSDREEF",12,0,16,0,21-100,18-09-2024
sudden,9000,GHENT,"QUARTER STREET, STILL STREET, STORMVOGEL STREET",7,30,12,0,21-100,18-09-2024
planned,9000,GHENT,STORMVOGELSTRAAT,7,30,16,0,<20,18-09-2024
planned,9000,GHENT,FISHING,8,15,16,0,21-100,18-09-2024
planned,9000,GHENT,FISHING,8,8,8,16,21-100,18-09-2024
planned,9030,MARIAKERKE,"BRUGSEVAART, LINIESTRAAT, SPEISTERRAAT",6,3,12,30,101-500,18-09-2024
sudden,9050,LEDEBERG,BRUSSELS STONEWAY,8,0,16,0,<20,18-09-2024
planned,9090,MELLE,"LINDESTRAAT, PARK TER LINDEN",7,45,10,15,21-100,18-09-2024
sudden,9000,GHENT,"JOZEF CANTRÉSTRAAT, SINT-DENIJSLAAN, STELTLOPERSTRAAT, STORMVOGELSTRAAT, WIEMERSDREEF",12,30,15,35,21-100,18-09-2024
planned,9000,GHENT,"QUARTER STREET, STILL STREET, STORMVOGEL STREET",8,0,11,0,21-100,18-09-2024
planned,9000,GHENT,STORMVOGELSTRAAT,7,30,11,0,<20,18-09-2024
planned,9000,GHENT,FISHING,8,15,14,50,21-100,18-09-2024
planned,9050,LEDEBERG,BRUSSELS STONEWAY,8,0,15,55,<20,18-09-2024
planned,9040,SINT-AMANDSBERG,GENTBRUGGESTRAAT,0,59,1,59,21-100,18-09-2024
sudden,9070,DESTELBERGEN,KOUTERSTRAAT,6,38,12,59,<20,18-06-2024
planned,9000,GHENT,KORTRIJKSSTEENWEG,8,9,9,0,21-100,17-09-2024
planned,9000,GHENT,TWO BRUGGESTRAAT,8,0,15,55,<20,17-09-2024
planned,9040,SINT-AMANDSBERG,"ADOLF DAENSSTRAAT, ALBRECHT RODENBACHSTRAAT, BIEST, DANIEL MARESKASTRAAT, ELISABETH DRORYPAD, FERDINAND SNELLAERTPLEIN, FRANS MASEREELSTRAAT, HANS MEMLINGSTRAAT, JAN BLOCKXSTRAAT, PHILIP BLOMMAERTSTRAAT, SINT-DOROTHEASTRAAT, THOMAS EDISONSTRAAT",9,14,15,55,101-500,17-09-2024
planned,9040,SINT-AMANDSBERG,"ALBRECHT RODENBACH STREET, AUGUST SNIEDER STREET, HUGO VERRIEST STREET, ZINGEMKOUTER STREET",8,0,15,46,21-100,17-09-2024
planned,9040,SINT-AMANDSBERG,SPIKE STREET,7,30,9,30,<20,17-09-2024
planned,9041,OOSTAKKER,"ANTWERP STONEWEG, WILDEBRAKE",8,25,8,30,101-500,17-09-2024
planned,9041,OOSTAKKER,"ELISE GRANDPREZSTRAAT, EMILIE SCHATTEMANSTRAAT, GROENSTRAAT, LEONIE RAMMELOOSTRAAT, LOUISE DERACHESTRAAT, WILDEBRAKE",8,17,8,25,21-100,17-09-2024
planned,9070,DESTELBERGEN,"HUNTER STREET, MOLEN STREET",7,30,11,25,21-100,17-09-2024
sudden,9040,SINT-AMANDSBERG,ALFONS BRAECKMAN LANE,11,5,12,30,<20,17-06-2024
sudden,9050,GHENTBRUGGE,"GENTBRUGGEKOUTER, JULES VAN BIESBROECKSTRAAT",11,10,12,25,<20,17-06-2024
sudden,9050,LEDEBERG,"BRUSSELSESTEENWEG, EDMOND VAN HOOREBEKESTRAAT, HILARIUS BERTOLFSTRAAT, HOVENIERSSTRAAT, HUURhouderIJSTRAAT, RERERIJKERSSTRAAT",11,1,14,5,101-500,17-06-2024
sudden,9000,GHENT,SINT-KWINTENSBERG,8,0,15,50,<20,16-10-2024
sudden,9000,GHENT,VELDSTRAAT,9,0,9,45,<20,16-10-2024
sudden,9031,DRONGEN,"BEEKSTRAAT, MARIAKERKSESTEENWEG",8,25,8,35,<20,16-10-2024
sudden,9050,GENTBRUGGE,"EDUARD PÊCHERSTRAAT, PINGUINSTRAAT",8,5,8,50,<20,16-10-2024
sudden,9000,GHENT,IMPERIAL VEST,7,30,9,30,<20,16-08-2024
sudden,9032,WONDELGEM,"CHURCH OWL STREET, WESTERGEMSTRAAT",9,30,9,45,<20,16-08-2024
sudden,9050,GENTBRUGGE,"GUSTAAF LE FÈVERE DE TEN HOVELAAN, HIPPOLIET PERSOONSSTRAAT",6,54,8,55,21-100,16-08-2024
sudden,9000,GHENT,ZUIDKAAI,13,30,14,30,21-100,16-07-2024
sudden,9000,GHENT,ZUIDKAAI,13,30,14,30,21-100,16-07-2024
planned,9000,GHENT,FOX SLAVE,8,30,11,14,<20,15-10-2024
planned,9000,GHENT,HOOGSTRAAT,14,35,16,28,21-100,15-09-2024
sudden,9000,GHENT,"BLANDIJNBERG, GRAAF ARNULFSTRAAT, SINT-PIETERSNIEUWSTRAAT",21,56,23,33,21-100,15-07-2024
sudden,9041,OOSTAKKER,"JEF TINELSTRAAT, MAALGAVER",9,15,9,30,<20,15-07-2024
sudden,9070,DESTELBERGEN,"HOUTSTRAAT, SCHAESSESTRAAT, VELDEKENSSTRAAT",9,15,9,30,21-100,15-07-2024
planned,9041,OOSTAKKER,JOZEF PAELINCKSTRAAT,13,0,14,45,<20,14-10-2024
sudden,9060,ZELZATE,"AKKERSTRAAT, ANTOON VANDERLINDENSTRAAT, BOOKWEITSTRAAT, FORELSTRAAT, FRANZ WITTOUCKLAAN, BARLEY STREET, GRIJPHOEK, GROTE MARKT, HAVENLANE, HAVERSTRAAT, HOOISTRAAT, JOHN SCHENKELSSTRAAT, CANAL STREET, CHURCH STREET, KORENSTRAAT, CREEKSTRAAT, LANDSTRAAT, LEEGSTRAAT, MAÃ¯SSTRAAT, MARKET STREET, WALNUT STREET, EXPROPRIATION STREET, OOSTKADE, PATRONAGESTRAAT, PEPPERSTRAAT, PIERETS-DE COLVENAERPLEIN, PRES. JF KENNEDYLAAN, ROGGESTRAAT, ALDERMAN NAPOLEON DE MEYERSTRAAT, SINT-SEBASTIAANSTRAAT, TARWE STREET, CONNECTION STREET, VICTOR HUYLEBROECKSTRAAT, VLASSTRAAT, WACHTEBEKESTRAAT, ZONNEBLOEMSTRAAT",10,50,12,30,<20,14-10-2024
sudden,9080,LOCHRISTI,BASTELARE,9,5,10,36,<20,14-10-2024
planned,9080,SEVENEKEN,BASTELARE,9,5,10,36,21-100,14-10-2024
planned,9000,GHENT,"CORNEEL HEYMANSLAAN, FRANK BAURSTRAAT, JULES BOULVINSTRAAT",13,47,16,24,21-100,14-09-2024
planned,9000,GHENT,"CORNEEL HEYMANSLAAN, FRANK BAURSTRAAT, JULES BOULVINSTRAAT",13,47,16,24,21-100,14-09-2024
sudden,9000,GHENT,"PINTELAAN, FROG STREET",7,30,10,30,21-100,13-09-2024
planned,9000,GHENT,JOSEPH KLUYSKENSSTRAAT,8,0,16,0,<20,13-09-2024
planned,9000,GHENT,KEIZER KARELSTRAAT,8,0,16,0,<20,13-09-2024
sudden,9030,MARIAKERKE,"AHORNLAAN, ALBRECHT DÜRERLAAN, EEKLOSTRAAT, GULDENROEDESTRAAT, HAAGWINDESTRAAT, KOLLEKASTEELSTRAAT",11,45,11,48,101-500,13-09-2024
sudden,9050,GENTBRUGGE,"THE CAMP, MEERSEMHOF",8,37,9,10,<20,13-09-2024
planned,9000,GHENT,"THREE-TOWER STREET, FILIPS VAN CLEEFLAAN, JOZEF II STREET, TRIOMFSTRAAT",14,30,15,45,21-100,13-08-2024
planned,9000,GHENT,"FRANCISCO FERRERLAAN, PALINGHUIZEN, WELVAARTSTRAAT",6,11,8,0,21-100,13-08-2024
sudden,9000,GHENT,"GREENOCKSTRAAT, HELSINKISTRAAT, MEULESTEEDSESTEENWEG",15,0,21,45,101-500,12-10-2024
planned,9000,GHENT,"THREE-TOWER STREET, FILIPS VAN CLEEFLAAN, JOZEF II STREET, TRIOMFSTRAAT",14,30,16,30,21-100,12-08-2024
sudden,9050,GENTBRUGGE,TEATERSTRAAT,10,56,11,45,<20,12-07-2024
sudden,9051,SINT-DENIJS-WESTREM,"KORTRIJKSESTEENWEG, TWAALFAPOSTELENSTRAAT",10,25,11,0,<20,12-07-2024
sudden,9030,MARIAKERKE,OCTAVE OF DAMMESTRAAT,8,0,8,30,21-100,11-10-2024
planned,9070,DESTELBERGEN,"BELGIËLAAN, EUROPALAAN, UNITED NATIONS LAUNCH, FLANDERS STREET",7,30,16,0,101-500,11-10-2024
sudden,9070,HEUSDEN,"PENSSTRAAT, SLOTSTRAAT, ZANDAKKERLAAN",7,30,9,30,21-100,11-10-2024
planned,9000,GHENT,"ACHTERLEIE, DRONGENHOF, GRAUWPOORT, HUIDEVETTERSKAAI, LANGE SCHIPGRACHT, LANGE STEENSTRAAT, MOESTUINSTRAAT, OUDBURG, RODELIJVEKENSSTRAAT, SLEEPSTRAAT, SLUIZEKEN, SLUIZEKENKAAI, SLUIZEKENSTRAAT",8,7,9,51,101-500,11-09-2024
planned,9000,GHENT,KASTEELLAAN,8,0,15,50,<20,11-09-2024
planned,9000,GHENT,KUIPERSKAAI,8,0,15,50,<20,11-09-2024
planned,9000,GHENT,"TRAKTAATWEG, WITTEWALLE",15,24,15,47,<20,11-09-2024
planned,9040,SINT-AMANDSBERG,"HEIVELDSTRAAT, JEF CRICKSTRAAT",9,0,11,10,21-100,11-09-2024
sudden,9041,OOSTAKKER,"KEMZEKESTRAAT, MUIZELSTRAAT, ZALEGEMSTRAAT",15,55,19,55,21-100,11-09-2024
sudden,9041,OOSTAKKER,TRAKTAATWEG,15,24,15,47,<20,11-09-2024
sudden,9070,DESTELBERGEN,HAENHOUTSTRAAT,7,35,12,49,<20,11-09-2024
sudden,9000,GHENT,BEGIJNENGRACHT,7,21,10,50,<20,11-07-2024
planned,9000,GHENT,SAINT-PETER'S NEW STREET,8,0,16,0,21-100,10-09-2024
planned,9000,GHENT,SAINT-PETER'S NEW STREET,8,0,15,0,21-100,10-09-2024
planned,9040,SINT-AMANDSBERG,NECKERSVIJVERSTRAAT,15,42,15,50,101-500,10-09-2024
sudden,9041,OOSTAKKER,"THREE-SWANT STREET, GENTSTRAAT, PUIGEM, WOLFPUTSTRAAT",14,5,14,10,101-500,10-09-2024
planned,9041,OOSTAKKER,SAINT JOSEPH STREET,8,55,11,45,<20,10-09-2024
planned,9042,SAINT-CROSS-SHOP,"JOZEFIENENSTRAAT, KAPELLEDREEF, SHOPPING WARANDE",13,5,13,10,21-100,10-09-2024
planned,9051,SINT-DENIJS-WESTREM,"HEAVENLY STREET, PUTS STREET",12,30,13,43,<20,10-09-2024
sudden,9000,GHENT,BEGIJNENGRACHT,23,59,1,41,<20,10-07-2024
sudden,9070,DESTELBERGEN,"DENDERMONDESTEENWEG, MEZENSTRAAT",9,8,10,10,21-100,10-07-2024
sudden,9080,LOCHRISTI,SINT-BAAFSDREEF,13,7,15,54,<20,10-07-2024
sudden,9070,DESTELBERGEN,"DENDERMONDESTEENWEG, MEZENSTRAAT",9,8,10,10,21-100,10-07-2024
planned,9000,GHENT,"ABEELSTRAAT, BRABANTDAM, PELIKAANSTRAAT, SINT-KRISTOFFELSTRAAT",8,30,11,30,21-100,09-10-2024
sudden,9000,GHENT,"BENNESTEEG, VELDSTRAAT",8,0,9,46,<20,09-10-2024
sudden,9000,GHENT,"OUDESCHELDE STREET, PIETER VANDERDONCKTPASSAGE",12,10,12,57,<20,09-10-2024
sudden,9040,SINT-AMANDSBERG,"JOHANNES HARTMANNLAAN, SINT-BAAFSKOUTERSTRAAT",7,30,12,0,21-100,09-10-2024
planned,9040,SINT-AMANDSBERG,BARN STREET,8,3,11,0,<20,09-10-2024
planned,9000,GHENT,"ABEELSTRAAT, BRABANTDAM, PELIKAANSTRAAT, SINT-KRISTOFFELSTRAAT",8,30,11,30,21-100,09-10-2024
sudden,9000,GHENT,"BENNESTEEG, VELDSTRAAT",8,0,9,46,<20,09-10-2024
sudden,9000,GHENT,"OUDESCHELDESTRAAT, PIETER VANDERDONCKTDOORGANG",12,10,12,57,<20,09-10-2024
sudden,9040,SINT-AMANDSBERG,SCHUURSTRAAT,8,3,11,0,<20,09-10-2024
planned,9000,GHENT,"FRANCISCO FERRERLAAN, PALINGHUIZEN, WELVAARTSTRAAT",9,39,12,0,21-100,09-09-2024
planned,9000,GHENT,CAPUCHIN HAM,8,0,16,0,<20,09-09-2024
planned,9000,GHENT,STACKING SQUARE,9,30,10,30,21-100,09-09-2024
planned,9000,GHENT,ZWIJNAARDSE STONEWEG,8,0,8,15,21-100,09-09-2024
planned,9051,SINT-DENIJS-WESTREM,WHITEPAALSTRAAT,8,0,15,0,<20,09-09-2024
planned,9080,LOCHRISTI,VILLAGE-WEST,8,0,16,0,<20,09-09-2024
planned,9090,MELLE,VILLAGE SQUARE,8,20,9,10,<20,09-09-2024
planned,9000,GHENT,"FRANCISCO FERRERLAAN, PALINGHUIZEN, WELVAARTSTRAAT",9,39,10,29,21-100,09-09-2024
sudden,9000,GHENT,CAPUCHIN HAM,8,0,15,53,<20,09-09-2024
planned,9000,GHENT,STACKING SQUARE,9,30,11,0,21-100,09-09-2024
sudden,9031,DRONGEN,ADOLF LOOTENSSTRAAT,13,52,16,3,<20,09-09-2024
planned,9032,WONDELGEM,INDUSTRIAL ROAD,13,15,14,27,<20,09-09-2024
sudden,9051,SINT-DENIJS-WESTREM,WHITEPAALSTRAAT,8,15,15,0,<20,09-09-2024
planned,9080,LOCHRISTI,VILLAGE-WEST,8,0,15,35,<20,09-09-2024
planned,9070,HEUSDEN,DORPSLAAN,13,30,13,31,<20,08-10-2024
planned,9000,GHENT,"HAVERSTRAAT, NIEUWEVAART",21,19,22,42,101-500,08-08-2024
sudden,9000,GHENT,"QUEEN ASTRIDLAAN, KORTRIJKSESTEENWEG",8,0,11,30,21-100,07-10-2024
planned,9000,GHENT,FLANDERS STREET,8,0,14,0,21-100,07-10-2024
planned,9031,DRONGEN,"MOERSTRAAT, STREEPBOSSTRAAT",11,15,13,45,<20,07-10-2024
planned,9000,GHENT,"AFRIKALANE, AMERIKALANE, AIRCRAFT LANE",7,30,16,0,21-100,06-09-2024
planned,9000,GHENT,EDMOND BOONENSTRAAT,8,0,10,45,<20,06-09-2024
planned,9000,GHENT,"FRANS VAN RYHOVELAAN, HORTENSIASTRAAT, PIOENSTRAAT",8,15,9,27,21-100,06-09-2024
sudden,9000,GHENT,GREEN AVENUE,8,0,16,0,<20,06-09-2024
planned,9041,OOSTAKKER,"GENTSTRAAT, SLOTENBILK",14,15,14,25,21-100,06-09-2024
